"Nr","Datum","Jahr","Land","Stadt","Umsatz","Kosten","Rücksendung","Bereich","Produktgruppe","Logistik-Code","Kunde"
"239","8/27/2025","2025","Vereinigtes Königreich","Manchester","7451.70","5961.36","","Bereich-2","prd-96","10-43656-1","C-115"
"240","8/28/2025","2025","China","Wuhan","5460.75","4368.60","","Bereich-3","prd-68","11-43656-1","C-137"
"241","8/29/2025","2025","Südkorea","Daejeon","6454.50","5163.60","","Bereich-3","prd-72","2-43674-1","C-107"
"242","8/30/2025","2025","USA","Detroit","7398.75","5919.00","1","Bereich-2","prd-85","1-43659-1","C-76"
"243","8/31/2025","2025","Deutschland","Hannover","8863.35","7090.68","","Bereich-4","prd-38","3-43653-1","C-65"
"244","9/1/2025","2025","Südkorea","Daejeon","4982.10","3985.68","","Bereich-5","prd-16","2-43675-1","C-107"
"245","9/2/2025","2025","USA","Detroit","7623.60","6098.88","1","Bereich-4","prd-37","1-43660-1","C-76"
"246","9/3/2025","2025","Südkorea","Daejeon","6353.10","5082.48","","Bereich-1","prd-42","2-43676-1","C-107"
"247","9/4/2025","2025","USA","Detroit","4927.95","3942.36","","Bereich-5","prd-15","12-43662-1","C-53"
"248","9/5/2025","2025","USA","Detroit","5653.35","4522.68","","Bereich-1","prd-48","1-43661-1","C-76"
"249","9/6/2025","2025","Mexiko","Puebla","7067.70","5654.16","","Bereich-3","prd-72","9-43661-1","C-117"
"250","9/7/2025","2025","USA","Detroit","8110.50","6488.40","","Bereich-1","prd-51","1-43662-1","C-76"
"251","9/8/2025","2025","USA","Detroit","4433.70","3546.96","1","Bereich-1","prd-47","12-43663-1","C-53"
"252","9/9/2025","2025","USA","Detroit","4954.20","3963.36","","Bereich-5","prd-6","1-43663-1","C-76"
"253","9/10/2025","2025","Mexiko","Veracruz","6609.90","5287.92","","Bereich-5","prd-4","9-43662-1","C-117"
"254","9/11/2025","2025","Südkorea","Daejeon","4082.10","3265.68","","Bereich-2","prd-84","2-43677-1","C-107"
"255","9/12/2025","2025","USA","Detroit","8219.25","6575.40","","Bereich-2","prd-80","1-43664-1","C-76"
"256","9/13/2025","2025","USA","Detroit","6629.70","5303.76","","Bereich-3","prd-76","12-43664-1","C-53"
"257","9/14/2025","2025","Südkorea","Daejeon","5734.35","4587.48","","Bereich-5","prd-1","2-43647-1","C-107"
"258","9/15/2025","2025","USA","Detroit","5287.05","4229.64","","Bereich-4","prd-39","12-43665-1","C-53"
"259","9/16/2025","2025","USA","Detroit","6337.35","5069.88","1","Bereich-3","prd-69","12-43666-1","C-53"
"260","9/17/2025","2025","USA","Detroit","6812.55","5450.04","","Bereich-1","prd-54","12-43667-1","C-53"
"261","9/18/2025","2025","USA","Portland","4273.80","3419.04","","Bereich-1","prd-42","12-43668-1","C-53"
"262","9/19/2025","2025","China","Wuhan","5420.10","4336.08","","Bereich-5","prd-1","11-43657-1","C-137"
"263","9/20/2025","2025","Deutschland","Hannover","7609.35","6087.48","","Bereich-4","prd-29","3-43654-1","C-65"
"264","9/21/2025","2025","USA","Portland","6046.95","4837.56","","Bereich-2","prd-80","1-43665-1","C-76"
"265","9/22/2025","2025","Deutschland","Hannover","6892.95","5514.36","","Bereich-2","prd-81","3-43655-1","C-65"
"266","9/23/2025","2025","Vereinigtes Königreich","Manchester","6472.80","5178.24","","Bereich-4","prd-20","7-43669-1","C-141"
"267","9/24/2025","2025","Südkorea","Daejeon","9752.10","7801.68","","Bereich-1","prd-51","5-43670-1","C-65"
"268","9/25/2025","2025","Deutschland","Hannover","8967.00","7173.60","","Bereich-5","prd-13","3-43656-1","C-65"
"269","9/26/2025","2025","Mexiko","Veracruz","4487.85","3590.28","","Bereich-5","prd-16","9-43663-1","C-117"
"270","9/27/2025","2025","USA","Portland","7951.50","6361.20","","Bereich-1","prd-45","1-43666-1","C-76"
"271","9/28/2025","2025","USA","Portland","4648.80","3719.04","","Bereich-4","prd-26","12-43669-1","C-53"
"272","9/29/2025","2025","China","Wuhan","4858.35","3886.68","","Bereich-1","prd-43","4-43674-1","C-124"
"273","9/30/2025","2025","China","Wuhan","5170.05","4136.04","","Bereich-1","prd-57","4-43675-1","C-124"
"274","10/1/2025","2025","USA","Portland","8608.35","6886.68","","Bereich-5","prd-13","1-43667-1","C-76"
"275","10/2/2025","2025","China","Wuhan","6747.15","5397.72","","Bereich-3","prd-71","11-43658-1","C-137"
"276","10/3/2025","2025","China","Wuhan","4182.00","3345.60","","Bereich-5","prd-6","4-43676-1","C-124"
"277","10/4/2025","2025","Vereinigtes Königreich","Manchester","6430.50","5144.40","","Bereich-3","prd-74","10-43657-1","C-115"
"278","10/5/2025","2025","USA","Portland","8220.15","6576.12","1","Bereich-5","prd-18","1-43668-1","C-76"
"279","10/6/2025","2025","Südkorea","Gwangju","6187.80","4950.24","","Bereich-1","prd-59","2-43648-1","C-107"
"280","10/7/2025","2025","Südkorea","Gwangju","8526.75","6821.40","","Bereich-5","prd-7","5-43671-1","C-65"
"281","10/8/2025","2025","Südkorea","Gwangju","6481.80","5185.44","","Bereich-3","prd-78","5-43672-1","C-65"
"282","10/9/2025","2025","USA","Portland","8104.05","6483.24","","Bereich-3","prd-62","1-43669-1","C-76"
"283","10/10/2025","2025","USA","Portland","7971.75","6377.40","","Bereich-4","prd-26","1-43670-1","C-76"
"284","10/11/2025","2025","Mexiko","Veracruz","5402.70","4322.16","","Bereich-2","prd-93","9-43664-1","C-117"
"285","10/12/2025","2025","USA","Portland","7450.35","5960.28","","Bereich-3","prd-68","1-43671-1","C-76"
"286","10/13/2025","2025","Südkorea","Gwangju","5780.40","4624.32","","Bereich-5","prd-13","6-43659-1","C-85"
"287","10/14/2025","2025","Deutschland","Hannover","8439.75","6751.80","","Bereich-5","prd-16","3-43657-1","C-65"
"288","10/15/2025","2025","Deutschland","Hannover","9133.80","7307.04","","Bereich-3","prd-74","3-43658-1","C-65"
"289","10/16/2025","2025","Südkorea","Gwangju","5716.05","4572.84","","Bereich-2","prd-91","2-43649-1","C-107"
"290","10/17/2025","2025","Mexiko","Veracruz","4090.20","3272.16","1","Bereich-2","prd-98","8-43656-1","C-109"
"291","10/18/2025","2025","Südkorea","Gwangju","7597.80","6078.24","","Bereich-3","prd-67","5-43673-1","C-65"
"292","10/19/2025","2025","Vereinigtes Königreich","Manchester","6995.40","5596.32","","Bereich-5","prd-18","10-43658-1","C-115"
"293","10/20/2025","2025","Südkorea","Gwangju","4672.50","3738.00","","Bereich-5","prd-6","6-43660-1","C-85"
"294","10/21/2025","2025","Südkorea","Gwangju","2756.70","2205.36","1","Bereich-5","prd-19","2-43650-1","C-107"
"295","10/22/2025","2025","USA","Portland","4091.10","3272.88","","Bereich-3","prd-67","12-43670-1","C-53"
"296","10/23/2025","2025","Deutschland","Hannover","8039.85","6431.88","","Bereich-3","prd-76","3-43659-1","C-65"
"297","10/24/2025","2025","USA","Portland","5920.50","4736.40","","Bereich-2","prd-80","12-43671-1","C-53"
"298","10/25/2025","2025","Südkorea","Gwangju","4330.65","3464.52","","Bereich-3","prd-78","5-43674-1","C-65"
"299","10/26/2025","2025","Südkorea","Gwangju","6565.20","5252.16","","Bereich-3","prd-71","6-43661-1","C-85"
"300","10/27/2025","2025","Deutschland","Hannover","7238.25","5790.60","","Bereich-4","prd-27","3-43660-1","C-65"
"301","10/28/2025","2025","Mexiko","Veracruz","4089.75","3271.80","","Bereich-2","prd-87","9-43665-1","C-117"
"302","10/29/2025","2025","Südkorea","Gwangju","6386.70","5109.36","1","Bereich-5","prd-19","5-43675-1","C-65"
"303","10/30/2025","2025","China","Wuhan","4296.75","3437.40","1","Bereich-3","prd-68","4-43677-1","C-124"
"304","10/31/2025","2025","Südkorea","Ulsan","5283.00","4226.40","","Bereich-4","prd-24","5-43676-1","C-65"
"305","11/1/2025","2025","Deutschland","Hannover","6944.70","5555.76","","Bereich-3","prd-68","3-43661-1","C-65"
"306","11/2/2025","2025","Deutschland","Hannover","6096.15","4876.92","","Bereich-4","prd-27","3-43662-1","C-65"
"307","11/3/2025","2025","China","Dongguan","6448.65","5158.92","1","Bereich-1","prd-56","4-43647-1","C-124"
"308","11/4/2025","2025","Vereinigtes Königreich","Manchester","9498.75","7599.00","1","Bereich-1","prd-45","10-43659-1","C-115"
"309","11/5/2025","2025","Deutschland","Hannover","11552.70","9242.16","","Bereich-2","prd-89","3-43663-1","C-65"
"310","11/6/2025","2025","Deutschland","Hannover","4195.35","3356.28","","Bereich-2","prd-99","3-43664-1","C-65"
"311","11/7/2025","2025","Südkorea","Ulsan","5197.50","4158.00","1","Bereich-2","prd-94","2-43651-1","C-107"
"312","11/8/2025","2025","Vereinigtes Königreich","Manchester","5408.70","4326.96","","Bereich-5","prd-8","7-43671-1","C-141"
"313","11/9/2025","2025","Deutschland","Hannover","5086.50","4069.20","","Bereich-3","prd-79","3-43665-1","C-65"
"314","11/10/2025","2025","China","Dongguan","5936.25","4749.00","","Bereich-5","prd-16","4-43648-1","C-124"
"315","11/11/2025","2025","Südkorea","Ulsan","4559.85","3647.88","","Bereich-1","prd-58","2-43652-1","C-107"
"316","11/12/2025","2025","Südkorea","Ulsan","4480.65","3584.52","","Bereich-4","prd-24","5-43677-1","C-65"
"317","11/13/2025","2025","Mexiko","Veracruz","4515.30","3612.24","","Bereich-2","prd-91","9-43666-1","C-117"
"318","11/14/2025","2025","USA","Denver","9140.25","7312.20","","Bereich-5","prd-12","1-43672-1","C-76"
"319","11/15/2025","2025","Südkorea","Ulsan","5289.45","4231.56","","Bereich-1","prd-48","2-43653-1","C-107"
"320","11/16/2025","2025","Mexiko","Veracruz","6936.60","5549.28","1","Bereich-2","prd-95","8-43657-1","C-109"
"321","11/17/2025","2025","Südkorea","Ulsan","7634.85","6107.88","","Bereich-5","prd-19","5-43649-1","C-65"
"322","11/18/2025","2025","Deutschland","Hannover","7638.00","6110.40","","Bereich-1","prd-52","3-43666-1","C-65"
"323","11/19/2025","2025","Deutschland","Hannover","5907.75","4726.20","","Bereich-5","prd-4","3-43667-1","C-65"
"324","11/20/2025","2025","Südkorea","Ulsan","12093.30","9674.64","","Bereich-1","prd-43","5-43650-1","C-65"
"325","11/21/2025","2025","Vereinigtes Königreich","Manchester","5640.90","4512.72","","Bereich-1","prd-57","7-43673-1","C-141"
"326","11/22/2025","2025","USA","Denver","7719.60","6175.68","","Bereich-5","prd-6","1-43673-1","C-76"
"327","11/23/2025","2025","Südkorea","Ulsan","6643.20","5314.56","","Bereich-5","prd-15","2-43654-1","C-107"
"328","11/24/2025","2025","China","Dongguan","5241.30","4193.04","","Bereich-1","prd-57","11-43659-1","C-137"
"329","11/25/2025","2025","Deutschland","Hannover","5156.55","4125.24","","Bereich-3","prd-67","3-43668-1","C-65"
"330","11/26/2025","2025","USA","Denver","4236.75","3389.40","","Bereich-4","prd-31","12-43672-1","C-53"
"331","11/27/2025","2025","China","Dongguan","6972.60","5578.08","","Bereich-3","prd-62","4-43649-1","C-124"
"332","11/28/2025","2025","USA","Denver","8302.95","6642.36","1","Bereich-1","prd-48","12-43673-1","C-53"
"333","11/29/2025","2025","China","Dongguan","5892.00","4713.60","1","Bereich-2","prd-99","4-43650-1","C-124"
"334","11/30/2025","2025","Südkorea","Ulsan","8496.90","6797.52","","Bereich-5","prd-13","5-43651-1","C-65"
"335","12/1/2025","2025","Mexiko","Veracruz","5104.95","4083.96","","Bereich-3","prd-77","9-43667-1","C-117"
"336","12/2/2025","2025","Südkorea","Ulsan","6159.30","4927.44","","Bereich-3","prd-65","6-43662-1","C-85"
"337","12/3/2025","2025","USA","Denver","4681.20","3744.96","","Bereich-2","prd-96","12-43674-1","C-53"
"338","12/4/2025","2025","Südkorea","Ulsan","5891.25","4713.00","","Bereich-1","prd-55","5-43652-1","C-65"
"339","12/5/2025","2025","Südkorea","Ulsan","3859.80","3087.84","","Bereich-2","prd-97","2-43655-1","C-107"
"340","12/6/2025","2025","USA","Denver","6860.85","5488.68","","Bereich-5","prd-1","1-43674-1","C-76"
"341","12/7/2025","2025","USA","Denver","5734.95","4587.96","1","Bereich-2","prd-98","12-43675-1","C-53"
"342","12/8/2025","2025","Vereinigtes Königreich","Manchester","4671.75","3737.40","","Bereich-5","prd-19","7-43675-1","C-141"
"343","12/9/2025","2025","USA","Denver","9565.50","7652.40","","Bereich-1","prd-57","1-43675-1","C-76"
"344","12/10/2025","2025","USA","Denver","7279.20","5823.36","","Bereich-3","prd-60","1-43676-1","C-76"
"345","12/11/2025","2025","Deutschland","Hannover","9294.30","7435.44","","Bereich-2","prd-99","3-43669-1","C-65"
"346","12/12/2025","2025","Deutschland","Hannover","9065.25","7252.20","","Bereich-3","prd-65","3-43670-1","C-65"
"347","12/13/2025","2025","Mexiko","Veracruz","4472.10","3577.68","","Bereich-5","prd-9","9-43668-1","C-117"
"348","12/14/2025","2025","Vereinigtes Königreich","Manchester","8533.05","6826.44","","Bereich-4","prd-32","10-43660-1","C-115"
"349","12/15/2025","2025","USA","Denver","5570.85","4456.68","","Bereich-2","prd-89","12-43676-1","C-53"
"350","12/16/2025","2025","Südkorea","Ulsan","6458.85","5167.08","1","Bereich-2","prd-86","2-43656-1","C-107"
"351","12/17/2025","2025","Südkorea","Ulsan","5418.00","4334.40","","Bereich-4","prd-22","2-43657-1","C-107"
"352","12/18/2025","2025","Südkorea","Ulsan","5707.35","4565.88","","Bereich-5","prd-14","2-43658-1","C-107"
"353","12/19/2025","2025","Vereinigtes Königreich","Manchester","7622.40","6097.92","","Bereich-5","prd-11","10-43661-1","C-115"
"354","12/20/2025","2025","Südkorea","Gangneung","3759.90","3007.92","","Bereich-4","prd-25","2-43659-1","C-107"
"355","12/21/2025","2025","Südkorea","Gangneung","7080.15","5664.12","1","Bereich-4","prd-25","5-43653-1","C-65"
"356","12/22/2025","2025","Mexiko","Veracruz","6050.55","4840.44","","Bereich-1","prd-43","8-43658-1","C-109"
"357","12/23/2025","2025","China","Dongguan","5502.75","4402.20","","Bereich-1","prd-51","4-43651-1","C-124"
"358","12/24/2025","2025","Deutschland","Hannover","8143.50","6514.80","","Bereich-1","prd-45","3-43671-1","C-65"
"359","12/25/2025","2025","USA","Denver","7712.25","6169.80","","Bereich-5","prd-6","1-43677-1","C-76"
"360","12/26/2025","2025","China","Dongguan","5776.65","4621.32","","Bereich-3","prd-75","11-43660-1","C-137"
"361","12/27/2025","2025","China","Tianjin","4873.35","3898.68","1","Bereich-3","prd-68","4-43652-1","C-124"
"362","12/28/2025","2025","Südkorea","Gangneung","3825.60","3060.48","","Bereich-5","prd-14","2-43660-1","C-107"
"363","12/29/2025","2025","USA","Denver","5938.80","4751.04","","Bereich-2","prd-80","1-43649-2","C-76"
"364","12/30/2025","2025","USA","Denver","4419.00","3535.20","","Bereich-1","prd-47","1-43650-2","C-76"
"365","12/31/2025","2025","Südkorea","Gangneung","3884.55","3107.64","","Bereich-2","prd-89","2-43661-1","C-107"
"366","1/1/2026","2026","Deutschland","Hannover","7270.65","5816.52","1","Bereich-2","prd-97","3-43672-1","C-65"
"367","1/2/2026","2026","Südkorea","Gangneung","5283.75","4227.00","","Bereich-2","prd-82","2-43662-1","C-107"
"368","1/3/2026","2026","China","Tianjin","4496.25","3597.00","","Bereich-3","prd-68","4-43653-1","C-124"
"369","1/4/2026","2026","USA","Denver","7795.05","6236.04","","Bereich-4","prd-35","1-43651-2","C-76"
"370","1/5/2026","2026","Südkorea","Gangneung","6586.05","5268.84","","Bereich-3","prd-73","2-43663-1","C-107"
"371","1/6/2026","2026","Vereinigtes Königreich","Manchester","7890.45","6312.36","","Bereich-3","prd-78","10-43662-1","C-115"
"372","1/7/2026","2026","Südkorea","Gangneung","8762.40","7009.92","","Bereich-5","prd-6","5-43654-1","C-65"
"373","1/8/2026","2026","Südkorea","Gangneung","8589.90","6871.92","1","Bereich-3","prd-61","2-43664-1","C-107"
"374","1/9/2026","2026","USA","Denver","7632.90","6106.32","","Bereich-2","prd-84","1-43652-2","C-76"
"375","1/10/2026","2026","USA","Denver","8977.35","7181.88","","Bereich-4","prd-29","1-43653-2","C-76"
"376","1/11/2026","2026","Südkorea","Gangneung","6019.05","4815.24","","Bereich-3","prd-77","6-43663-1","C-85"
"377","1/12/2026","2026","Südkorea","Gangneung","6482.40","5185.92","","Bereich-2","prd-96","5-43655-1","C-65"
"378","1/13/2026","2026","Deutschland","Hannover","9192.15","7353.72","","Bereich-1","prd-50","3-43673-1","C-65"
"379","1/14/2026","2026","Mexiko","Veracruz","9808.95","7847.16","1","Bereich-3","prd-72","8-43659-1","C-109"
"380","1/15/2026","2026","USA","Denver","8303.55","6642.84","","Bereich-2","prd-88","1-43654-2","C-76"
"381","1/16/2026","2026","Südkorea","Gangneung","5722.05","4577.64","","Bereich-1","prd-50","2-43665-1","C-107"
"382","1/17/2026","2026","Mexiko","Veracruz","6718.95","5375.16","","Bereich-3","prd-63","8-43660-1","C-109"
"383","1/18/2026","2026","Mexiko","Veracruz","5386.50","4309.20","","Bereich-4","prd-36","9-43669-1","C-117"
"384","1/19/2026","2026","Südkorea","Gangneung","3395.40","2716.32","","Bereich-2","prd-84","2-43666-1","C-107"
"385","1/20/2026","2026","Südkorea","Gangneung","9809.70","7847.76","","Bereich-1","prd-50","5-43656-1","C-65"
"386","1/21/2026","2026","Mexiko","Veracruz","8519.25","6815.40","","Bereich-2","prd-88","8-43661-1","C-109"
"387","1/22/2026","2026","Mexiko","Veracruz","5667.60","4534.08","","Bereich-1","prd-48","9-43670-1","C-117"
"388","1/23/2026","2026","USA","Denver","7104.00","5683.20","","Bereich-2","prd-81","1-43655-2","C-76"
"389","1/24/2026","2026","China","Tianjin","4211.40","3369.12","","Bereich-3","prd-69","4-43654-1","C-124"
"390","1/25/2026","2026","Südkorea","Gangneung","2257.50","1806.00","","Bereich-2","prd-80","2-43667-1","C-107"
"391","1/26/2026","2026","Deutschland","Hannover","7978.80","6383.04","","Bereich-3","prd-61","3-43674-1","C-65"
"392","1/27/2026","2026","Südkorea","Seogwipo","4895.70","3916.56","","Bereich-5","prd-16","5-43657-1","C-65"
"393","1/28/2026","2026","USA","Denver","5701.35","4561.08","","Bereich-3","prd-62","1-43656-2","C-76"
"394","1/29/2026","2026","Deutschland","Hannover","8845.65","7076.52","","Bereich-2","prd-96","3-43675-1","C-65"
"395","1/30/2026","2026","Südkorea","Seogwipo","5347.20","4277.76","1","Bereich-1","prd-43","2-43668-1","C-107"
"396","1/31/2026","2026","China","Tianjin","5110.50","4088.40","","Bereich-1","prd-45","4-43655-1","C-124"
"397","2/1/2026","2026","USA","Denver","5273.40","4218.72","","Bereich-3","prd-71","1-43657-2","C-76"
"398","2/2/2026","2026","China","Tianjin","5686.05","4548.84","1","Bereich-2","prd-97","4-43656-1","C-124"
"399","2/3/2026","2026","Südkorea","Seogwipo","9272.85","7418.28","","Bereich-2","prd-86","5-43658-1","C-65"
"400","2/4/2026","2026","Südkorea","Seogwipo","7205.85","5764.68","1","Bereich-3","prd-67","5-43659-1","C-65"
"401","2/5/2026","2026","China","Tianjin","7358.85","5887.08","","Bereich-4","prd-30","4-43657-1","C-124"
"402","2/6/2026","2026","Deutschland","Dortmund","7819.35","6255.48","","Bereich-2","prd-93","3-43676-1","C-65"
"403","2/7/2026","2026","Südkorea","Seogwipo","3327.90","2662.32","","Bereich-2","prd-98","2-43669-1","C-107"
"404","2/8/2026","2026","USA","Denver","9264.75","7411.80","","Bereich-3","prd-74","1-43658-2","C-76"
"405","2/9/2026","2026","China","Tianjin","6338.55","5070.84","","Bereich-1","prd-59","4-43658-1","C-124"
"406","2/10/2026","2026","Mexiko","Veracruz","5502.00","4401.60","","Bereich-2","prd-89","9-43671-1","C-117"
"407","2/11/2026","2026","Mexiko","Veracruz","7771.95","6217.56","","Bereich-1","prd-46","8-43662-1","C-109"
"408","2/12/2026","2026","Deutschland","Dortmund","8085.15","6468.12","1","Bereich-4","prd-35","3-43677-1","C-65"
"409","2/13/2026","2026","Südkorea","Seogwipo","6522.15","5217.72","","Bereich-1","prd-48","2-43670-1","C-107"
"410","2/14/2026","2026","Südkorea","Seogwipo","6418.50","5134.80","","Bereich-3","prd-61","2-43671-1","C-107"
"411","2/15/2026","2026","Südkorea","Seogwipo","5115.45","4092.36","","Bereich-4","prd-36","6-43664-1","C-85"
"412","2/16/2026","2026","Mexiko","Monterrey","6160.50","4928.40","","Bereich-5","prd-14","9-43672-1","C-117"
"413","2/17/2026","2026","Deutschland","Dortmund","8822.10","7057.68","","Bereich-1","prd-51","3-43647-2","C-65"
"414","2/18/2026","2026","USA","Denver","9485.25","7588.20","","Bereich-3","prd-60","1-43659-2","C-76"
"415","2/19/2026","2026","Vereinigtes Königreich","Manchester","6599.40","5279.52","","Bereich-1","prd-49","7-43677-1","C-141"
"416","2/20/2026","2026","Südkorea","Seogwipo","5103.60","4082.88","1","Bereich-1","prd-49","2-43672-1","C-107"
"417","2/21/2026","2026","Deutschland","Dortmund","8739.60","6991.68","1","Bereich-5","prd-2","3-43648-2","C-65"
"418","2/22/2026","2026","USA","Richmond","7533.75","6027.00","","Bereich-3","prd-77","1-43660-2","C-76"
"419","2/23/2026","2026","Südkorea","Seogwipo","3467.85","2774.28","","Bereich-2","prd-88","6-43665-1","C-85"
"420","2/24/2026","2026","China","Tianjin","4442.25","3553.80","","Bereich-3","prd-73","11-43661-1","C-137"
"421","2/25/2026","2026","USA","Richmond","5276.55","4221.24","","Bereich-2","prd-91","12-43677-1","C-53"
"422","2/26/2026","2026","Mexiko","Monterrey","4909.65","3927.72","","Bereich-5","prd-7","9-43673-1","C-117"
"423","2/27/2026","2026","Südkorea","Seogwipo","6146.85","4917.48","","Bereich-5","prd-14","2-43673-1","C-107"
"424","2/28/2026","2026","Vereinigtes Königreich","Bristol","7983.45","6386.76","","Bereich-1","prd-55","10-43663-1","C-115"
"425","3/1/2026","2026","Vereinigtes Königreich","Bristol","8106.90","6485.52","","Bereich-4","prd-26","7-43647-1","C-141"
"426","3/2/2026","2026","Südkorea","Seogwipo","7834.35","6267.48","","Bereich-5","prd-7","5-43660-1","C-65"
"427","3/3/2026","2026","Deutschland","Dortmund","9307.20","7445.76","","Bereich-4","prd-25","3-43649-2","C-65"
"428","3/4/2026","2026","China","Tianjin","5389.35","4311.48","","Bereich-4","prd-30","4-43659-1","C-124"
"429","3/5/2026","2026","China","Tianjin","5770.35","4616.28","","Bereich-1","prd-41","4-43660-1","C-124"
"430","3/6/2026","2026","Vereinigtes Königreich","Bristol","7739.25","6191.40","","Bereich-2","prd-97","7-43649-1","C-141"
"431","3/7/2026","2026","China","Tianjin","4863.00","3890.40","1","Bereich-2","prd-96","4-43661-1","C-124"
"432","3/8/2026","2026","Mexiko","Monterrey","5607.15","4485.72","","Bereich-4","prd-29","9-43674-1","C-117"
"433","3/9/2026","2026","Vereinigtes Königreich","Bristol","4835.55","3868.44","","Bereich-5","prd-7","7-43651-1","C-141"
"434","3/10/2026","2026","Südkorea","Seogwipo","5677.65","4542.12","","Bereich-3","prd-64","2-43674-1","C-107"
"435","3/11/2026","2026","Südkorea","Seogwipo","3852.90","3082.32","","Bereich-4","prd-36","2-43675-1","C-107"
"436","3/12/2026","2026","Südkorea","Gunpo","3671.25","2937.00","","Bereich-5","prd-17","2-43676-1","C-107"
"437","3/13/2026","2026","Vereinigtes Königreich","Bristol","4128.45","3302.76","","Bereich-3","prd-68","10-43664-1","C-115"
"438","3/14/2026","2026","Deutschland","Dortmund","7113.15","5690.52","1","Bereich-1","prd-41","3-43650-2","C-65"
"439","3/15/2026","2026","China","Tianjin","6641.55","5313.24","","Bereich-5","prd-3","11-43662-1","C-137"
"440","3/16/2026","2026","USA","Richmond","10099.20","8079.36","","Bereich-3","prd-62","1-43661-2","C-76"
"441","3/17/2026","2026","Mexiko","Monterrey","8399.70","6719.76","","Bereich-1","prd-45","8-43663-1","C-109"
"442","3/18/2026","2026","Südkorea","Gunpo","4251.30","3401.04","","Bereich-4","prd-35","2-43677-1","C-107"
"443","3/19/2026","2026","Vereinigtes Königreich","Bristol","6127.35","4901.88","","Bereich-2","prd-82","7-43653-1","C-141"
"444","3/20/2026","2026","Südkorea","Gunpo","6747.75","5398.20","","Bereich-4","prd-27","5-43661-1","C-65"
"445","3/21/2026","2026","Mexiko","Monterrey","5353.65","4282.92","","Bereich-5","prd-15","9-43675-1","C-117"
"446","3/22/2026","2026","China","Tianjin","6520.05","5216.04","","Bereich-1","prd-50","4-43662-1","C-124"
"447","3/23/2026","2026","Vereinigtes Königreich","Bristol","2207.25","1765.80","","Bereich-2","prd-85","7-43655-1","C-141"
"448","3/24/2026","2026","Vereinigtes Königreich","Bristol","3094.95","2475.96","","Bereich-2","prd-83","7-43657-1","C-141"
"449","3/25/2026","2026","Südkorea","Gunpo","4189.50","3351.60","","Bereich-5","prd-9","2-43647-2","C-107"
"450","3/26/2026","2026","USA","Richmond","7267.80","5814.24","","Bereich-2","prd-96","1-43662-2","C-76"
"451","3/27/2026","2026","Mexiko","Monterrey","7630.65","6104.52","","Bereich-3","prd-65","8-43664-1","C-109"
"452","3/28/2026","2026","Südkorea","Gunpo","6406.35","5125.08","","Bereich-1","prd-49","2-43648-2","C-107"
"453","3/29/2026","2026","USA","Richmond","6407.85","5126.28","","Bereich-2","prd-98","1-43663-2","C-76"
"454","3/30/2026","2026","USA","Richmond","7437.30","5949.84","","Bereich-5","prd-19","1-43664-2","C-76"
"455","3/31/2026","2026","Mexiko","Monterrey","4717.20","3773.76","1","Bereich-5","prd-8","9-43676-1","C-117"
"456","4/1/2026","2026","Deutschland","Dortmund","9259.05","7407.24","1","Bereich-4","prd-24","3-43651-2","C-65"
"457","4/2/2026","2026","Südkorea","Gunpo","7523.70","6018.96","","Bereich-1","prd-45","2-43649-2","C-107"
"458","4/3/2026","2026","Südkorea","Gunpo","6467.10","5173.68","","Bereich-1","prd-46","5-43662-1","C-65"
"459","4/4/2026","2026","China","Tianjin","6151.80","4921.44","","Bereich-4","prd-38","4-43663-1","C-124"
"460","4/5/2026","2026","USA","Richmond","6764.70","5411.76","","Bereich-2","prd-84","1-43665-2","C-76"
"461","4/6/2026","2026","Südkorea","Gunpo","3873.60","3098.88","","Bereich-4","prd-37","2-43650-2","C-107"
"462","4/7/2026","2026","Südkorea","Gunpo","5129.25","4103.40","","Bereich-3","prd-72","2-43651-2","C-107"
"463","4/8/2026","2026","Vereinigtes Königreich","Bristol","7516.35","6013.08","","Bereich-4","prd-30","10-43665-1","C-115"
"464","4/9/2026","2026","Südkorea","Gunpo","4486.80","3589.44","","Bereich-4","prd-22","6-43666-1","C-85"
"465","4/10/2026","2026","Südkorea","Gunpo","7093.95","5675.16","","Bereich-3","prd-68","5-43663-1","C-65"
"466","4/11/2026","2026","Südkorea","Gunpo","8840.25","7072.20","1","Bereich-1","prd-57","5-43664-1","C-65"
"467","4/12/2026","2026","Mexiko","Monterrey","5496.60","4397.28","1","Bereich-2","prd-98","9-43677-1","C-117"
"468","4/13/2026","2026","Mexiko","Monterrey","7809.90","6247.92","","Bereich-2","prd-95","9-43647-1","C-117"
"469","4/14/2026","2026","Südkorea","Gunpo","6353.10","5082.48","","Bereich-4","prd-26","5-43665-1","C-65"
"470","4/15/2026","2026","Deutschland","Dortmund","6310.65","5048.52","","Bereich-2","prd-93","3-43652-2","C-65"
"471","4/16/2026","2026","Deutschland","Dortmund","9228.60","7382.88","","Bereich-3","prd-65","3-43653-2","C-65"
"472","4/17/2026","2026","Vereinigtes Königreich","Bristol","7559.40","6047.52","","Bereich-5","prd-17","10-43666-1","C-115"
"473","4/18/2026","2026","Deutschland","Dortmund","7114.05","5691.24","","Bereich-3","prd-64","3-43654-2","C-65"
